id,directors,rate,title,casts,year,types,country,lang,time,movieTime,commentLen,star
289,理查德·林克莱特,8.9,爱在日落黄昏时,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫,路易丝·勒莫瓦纳·托雷斯,罗多尔·保利",2004,"剧情,爱情","美国,法国","英语,法语",2004-02-10,80,661585,"56.5%,33.7%,8.6%,0.9%,0.3%"
290,埃默拉尔德·芬内尔,6.2,呼啸山庄,"玛格特·罗比,雅各布·艾洛蒂,周洪,沙扎德·拉蒂夫,艾莉森·奥利弗",2026,"剧情,爱情","英国,美国",英语,2026-03-13,137,98633,"10.8%,23.5%,37.7%,20.3%,7.7%"
291,程小东,8.8,倩女幽魂,"张国荣,王祖贤,午马,刘兆铭,林威",1987,"爱情,奇幻,武侠,古装",中国香港,粤语,2011-04-30,96,841919,"49.3%,40.9%,9.3%,0.5%,0.1%"
292,提莫·贝克曼贝托夫,7.2,极限审判,"克里斯·帕拉特,丽贝卡·弗格森,卡莉·瑞斯,安娜贝拉·沃丽丝,克里斯·沙利文",2026,"动作,科幻,悬疑",美国,英语,2026-01-23,100,101883,"11.7%,43.8%,39.6%,4.3%,0.6%"
293,宫崎骏,8.6,崖上的波妞,"神月柚莉爱,土井洋辉,山口智子,长岛一茂,天海祐希",2008,"动画,奇幻,冒险",日本,日语,2020-12-31,101,581864,"45.9%,41.1%,12.0%,0.8%,0.2%"
294,宫崎骏,8.9,幽灵公主,"松田洋治,石田百合子,田中裕子,小林薰,西村雅彦",1997,"动画,奇幻,冒险",日本,日语,2025-05-01,134,675418,"56.5%,34.5%,8.2%,0.6%,0.2%"
295,弗朗西斯·福特·科波拉,9.3,教父2,"阿尔·帕西诺,罗伯特·杜瓦尔,黛安·基顿,罗伯特·德尼罗,约翰·凯泽尔",1974,"剧情,犯罪",美国,"英语,意大利语,西班牙语,拉丁语,西西里语",1974-12-12,202,644657,"69.0%,25.9%,4.6%,0.3%,0.2%"
296,克里斯托弗·诺兰,8.9,致命魔术,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩,丽贝卡·豪尔,斯嘉丽·约翰逊",2006,"剧情,悬疑,惊悚","英国,美国",英语,2006-10-17,130,969907,"54.4%,36.8%,8.0%,0.6%,0.2%"
297,詹姆斯·沃德·布柯特,8.6,彗星来的那一夜,"艾米丽·芭尔多尼,莫瑞·史特林,尼古拉斯·布兰登,劳伦·斯卡法莉娅,伊丽莎白·格瑞斯",2013,"科幻,悬疑,惊悚","美国,英国",英语,2013-09-19,89,694983,"44.1%,42.5%,11.8%,1.2%,0.4%"
298,大森贵弘,8.8,萤火之森,"佐仓绫音,内山昂辉,辻亲八,山本兼平,后藤弘树",2011,"剧情,爱情,动画,奇幻",日本,日语,2011-09-17,45,617723,"54.4%,34.3%,10.1%,0.9%,0.3%"
299,克里斯托弗·诺兰,8.8,奥本海默,"基里安·墨菲,艾米莉·布朗特,马特·达蒙,小罗伯特·唐尼,弗洛伦丝·皮尤",2023,"剧情,传记,历史","美国,英国","英语,德语,荷兰语,意大利语,意第绪语",2023-08-30,180,830195,"52.1%,36.3%,10.0%,1.1%,0.4%"
300,王之,7.0,黑夜告白,"潘粤明,王鹤棣,任敏,姜珮瑶,赵虎",2026,"剧情,悬疑,犯罪",中国大陆,汉语普通话,2026-04-26,43,90539,"17.6%,33.4%,33.6%,11.0%,4.3%"
301,罗曼·波兰斯基,9.3,钢琴家,"阿德里安·布罗迪,托马斯·克莱舒曼,艾米莉娅·福克斯,米哈乌·热布罗夫斯基,埃德·斯托帕德",2002,"剧情,音乐,传记,战争","英国,法国,波兰,德国,美国","英语,德语,俄语",2002-05-24,149,754566,"68.1%,27.4%,4.1%,0.2%,0.2%"
302,"露西亚·安尼洛,保罗·当斯",9.3,绝望写手 第二季,"珍·斯玛特,汉娜·爱宾德,罗斯·阿卜杜,赵牡丹,苏茜·伊斯曼",2022,喜剧,美国,英语,2022-05-12,75,34701,"70.1%,26.2%,3.4%,0.2%,0.1%"
303,"巨兴茂,郭世民",8.0,唐朝诡事录之长安,"杨旭文,杨志刚,郜思雯,陈创,孙雪宁",2025,"动作,悬疑,惊悚,犯罪,奇幻,冒险",中国大陆,汉语普通话,2025-11-08,44,195435,"30.8%,43.9%,20.7%,3.5%,1.1%"
304,"郭虎,任海涛",8.5,莲花楼,"成毅,曾舜晞,肖顺尧,陈都灵,王鹤润",2023,"剧情,悬疑,武侠,古装",中国大陆,汉语普通话,2023-07-23,60,939875,"46.7%,36.6%,13.2%,2.0%,1.5%"
